MessageText,Conversation Type,Is Marked as Spam,Manual Classification
"Hi, a while back you responded to my CityXGuide ad. I'm sorry it took me so long to reply to you. I do not want a serious relationship, atleast for now, I am looking for something thats strictly no strings. I would like to meet up for dinner or drinks, tomorrow would be fine for me if you've got time. I'd just like to get to know you, then find out where it goes. I have a picture gallery and a couple vids on CasDates.com for you, look me up, I am BadLilBlond there. My skype and real cell number are there also. I do this to screen for my safety and weed out the flakes and fakes. <img>https://api.twilio.com/2010-04-01/Accounts/AC364c6274101b6b137b433c79b795bba2/Messages/MMe6a06cdf8429a5f66f71600ec774a1ba/Media/MEfa3db1a8e7c0e95348a944f34a15b768</img>",1,TRUE,Other Site
"Hey, it's been a long time! Remember that time I asked you to goonadatewith.me. We can arrange it easily.",1,FALSE,Other Site
which one u like,1,TRUE,NA
Yo Dude!! You totally went home with that woman from last night? Redhothookups.me. You are the man!,1,TRUE,Other Site
Hey bro! I found this new place that is crushing it for me. I am finally winningatdating.me. You should try it!!,1,TRUE,Other Site
Hey you! It's a gorgeous hump day. You going out after work? Someplace with lotsofhotchicks.me,1,TRUE,Other Site
"Hello, I am replying to you from my City Guide ad. Are you seeking that special someone to make you feel just right? I am ready to have a great time and enjoy one another. I'm soft and sweet but frisky and naughty all in one package. I guarantee if you have a date with me it'll be the highlight of your week. My rate is $125 per hour for the girlfriend experience. There is no rush with me, I provide a total comfortable encounter. I have FuckrNow.com/TightTanya as a booking service to keep us both safe. If you would like to setup a date you can arrange it on there. If your looking for a girl who enjoys what she does then I am your girl, I aim to please, you will never leave disappointed :) <img>https://api.twilio.com/2010-04-01/Accounts/AC364c6274101b6b137b433c79b795bba2/Messages/MM161aff6ffecfb6c480229e23c654663a/Media/ME726eaa0507056695130f04d12eda1ab9</img>",1,FALSE,Other Site
"Hi there, I'm responding to you from my City Guide post. R u looking for a total escape away from all the stress and troubles life has to offer? Well allow me to be your sweet escape as I take you to a world of total bliss! I'm soft and sweet but frisky and naughty all in one package. I promise if you meet me it will be the highlight of your week. There is no rush with me, I offer a total relaxed experience for $125/hr. I have FuckrNow.com/BangTonight as a screening system to protect myself. If you would like to get together you can contact me on there. Go with that feeling telling you to live on the wild side a little today and get in touch, you will not regret it. Your satisfaction is mine. :) <img>https://api.twilio.com/2010-04-01/Accounts/AC364c6274101b6b137b433c79b795bba2/Messages/MM3a5092993f3b1d50e40c507df64b5081/Media/ME73d2f51e74928872c8830d4ec8367d0f</img>",1,FALSE,Other Site
datesafely.us.6IEWRjt,1,FALSE,Other Site
datesafely.us.6IEWRjt,1,TRUE,Other Site
"Are you aware that cops are using City X Guide to entrap girls and their customers? Next time you call a girl it might end in a night in jail. Do not take that risk, you have a better alternative. Checkout XoXLocals.com You can search thousands of local profiles of sexy women in your area. They aren't looking for money, they just want sex! No card number required to join.",1,FALSE,Other Site
"Hello, I'm Jessica. My girlfriend gave me your phone number. Are you stressed, bored, or not getting what you want at home? I'll sweep you off your feet with my entrancing eyes, friendly personality, and slim yet curvy body. For an hour my rate is $120. I am never rushed and discreet. I'm independent, drama free, and my pictures are really me and taken taken recently. I have some more pictures on InstaNaughty.com/GFEJessica and a couple videos too. I only take dates through them, for my safety I use them for screening clients. You will always leave fully satisfied. <img>https://api.twilio.com/2010-04-01/Accounts/AC364c6274101b6b137b433c79b795bba2/Messages/MMfebf87f944004f5dcf7d68439e1ec6ff/Media/ME0b1a5a0457cce36e94d04848f64083f4</img>",1,FALSE,Other Site
Hello ;-) I've been home alone all weekend. Getting really restless. I'm looking for company hottotdate.me,1,TRUE,Other Site
Hello ;-) I've been home alone all weekend. Getting really restless. I'm looking for company hottotdate.me,1,FALSE,Other Site
Hello ;-) I've been home alone all weekend. Getting really restless. I'm looking for company hottotdate.me,1,TRUE,Other Site
Hello ;-) I've been home alone all weekend. Getting really restless. I'm looking for company hottotdat.me,1,TRUE,Other Site
Hello ;-) I've been home alone all weekend. Getting really restless. I'm looking for company hottotdat.me,1,FALSE,Other Site
OMG Dude!! Did you go home with that chick last night? Redhothookups.me. Works every time!,1,TRUE,Other Site
What's Up? Did you see this online? Redhothookups.me. It's so perfect,1,TRUE,Other Site
What's Up? Did you see this online? Redhothookups.me. It's so perfect,1,FALSE,Other Site
"Hi, I'm responding to you from my City Guide listing. Are you searching for a attractive young woman to have some quality time with? I am right here ready for whatever kind of adventure you may have in mind! I am soft and sweet but frisky and naughty at the same time. I promise if you have a date with me it will be the highlight of your week. There is no preasure with me, I provide a total comfortable experience for $125 an hour. I use FuckrNow.com/SinfulDreams as a screening service to keep us both safe. If you would like to get together you can arrange it through there. Trust that feeling telling you to live on the wild side a bit today and get in touch, you will not regret it. Your satisfaction is mine. :) <img>https://api.twilio.com/2010-04-01/Accounts/AC364c6274101b6b137b433c79b795bba2/Messages/MMf1745c7d85740e161fcc1d1d2bf50311/Media/MEe1a5d6df51dc300ec6bd89c8d8102ad9</img>",1,TRUE,Other Site
"Hey there, I'm Jessica. I got your phone number from my girlfriend. Are you stressed, bored, or are not getting what you want at home? I'll be sure to sweep you off your feet with my seductive eyes, outgoing personality, and petite yet curvy body. My pictures are really me and taken recently. I'm drama free and independent. On InstaNaughty.com/GFEJessica I've got more pics and a couple videos. I also use them for screening new clients for my security, you can contact me on there to make a date. You'll always leave satisfied. <img>https://api.twilio.com/2010-04-01/Accounts/AC364c6274101b6b137b433c79b795bba2/Messages/MM77746965c45b1d393c87069549b1f96b/Media/MEfdee77210bdfaf80ff42b4955407e7bf</img>",1,FALSE,Other Site
Hello again we Spoke last night I have amazing orl skills lets talk here before meetup http://datingapp.live my id onenight69 I know how to please a man :),1,TRUE,Other Site
Hey its TORI I have amazing orl skills which you will love Lets talk here http://swipemeet.us to know each other ID hotfun23 I know how to please a man :),1,TRUE,Other Site
"Did you know that police is trying to entrap escorts and their clients on City Guide? The next post you call may be a cop waiting to toss you behind bars. Do not take that risk, you have a better option. Thousands of hot local girls are on XoXLocals.com They are not after money, they just want sex! Its free sex, you can't loose.",1,TRUE,Other Site
"Hey,My ID 214553 I would like to chat and meet with you and yes it will be very discreet and fun.??: http://comewithyou??.ml",1,FALSE,Other Site
Hi What's up? we Spoke last night I have amazing orl skills Lets talk here http://swipemeet.us to know each other ID hotfun23 I know how to please a man :),1,TRUE,Other Site
"What's up, a bit back you responded to my Skip The Games listing. Sorry it took me this long to respond to you. For now I do not want a relationship with commitments, I'm looking for something that is just casual. I'd like to meet up to have drinks, if you have time perhaps tomorrow. Just so we could get to know each other, and then find out what happens. I've got a picture album and a few videos on ItsAFling.com for you, look me up, I'm SexyBlonde there. My skype and real phone number are on there also. I do this to screen to be safe and weed out the flakes and fakes. <img>https://api.twilio.com/2010-04-01/Accounts/AC364c6274101b6b137b433c79b795bba2/Messages/MM9eeda6e743702bdfa647baef7d9cef7a/Media/MEb56f50bba952e21d7f18dc18c63b401d</img>",1,TRUE,Other Site
"Hey dear,
 Beautiful Day's coming up. Wanna go dating? I really want to meet you, that's why I sent you my personal secret profile link:>>> https://sugarxpartner.com/qobsgemzszonosg?t=Jesse69 So Let's start.....",1,FALSE,Other Site
Hey its Sarah thanks for messaging if your down to have fun all night then im your girl Lets chat here http://matchsingles.us before meetup my id curvy7,1,TRUE,Other Site
Hi it's Amber are u still available? Would love to meet you Im free now if u are interested text me at free chat messenger http://datinglocal.us id horny9,1,TRUE,Other Site
"Are you aware that law enforcement are using City X Guide to entrap escorts and their clients? The next post you contact may be a cop waiting to toss you behind bars. You have a better option, don't take the chance anymore. Thousands of sexy local women are on XoXLocals.com They aren't looking for money, they just want to be satisfied! No credit card number needed to sign up.",1,TRUE,Other Site
"Heya, a bit ago you replied to my Skip The Games ad. I'm sorry it took me this long to respond to you. I don't want a serious relationship, atleast for now, I just would like to find a no strings kinda arrangement. I would love to meet up to have drinks or dinner, tomorrow works for me if you've got some time. Look me up on ItsAFling.com I am HornyRider there, I've got allot more photos and a couple videos on there. I included my real cell number there as well. This is how I get rid of all the flakes and fakes. <img>https://api.twilio.com/2010-04-01/Accounts/AC364c6274101b6b137b433c79b795bba2/Messages/MM7d2c3dbfed330291ec571d105c966495/Media/ME2092b43fa82ca541731a0602dfbe9350</img>",1,FALSE,Other Site
"Heya, a while ago you messaged my CityXGuide ad. I am sorry it took me this long to reply to you. For the time being I do not desire a relationship with strings, I am only trying to have some fun with no strings. For now I simply don't have the time for a traditional relationship, I have been staying fairly busy with work recently. Would you wanna meet for dinner or drinks sometime soon, then see what happens. Look me up on ItsAFling.com I'm BabyDoll there, I have got allot more pics and a couple vids on there. I hope we'll talk soon. <img>https://api.twilio.com/2010-04-01/Accounts/AC364c6274101b6b137b433c79b795bba2/Messages/MMb789748f03046e60dbea4e20c72948a9/Media/ME8f1a7780b81c4c95adf2eac0f37b31fe</img>",1,FALSE,Other Site
"Hello, I'm responding to you from my Skip The Games listing. Are you searching for a attractive young woman to have some quality time with? I'm right here ready for whatever kind of adventure you may have in mind! I am not only easy on the eyes, but I am gentle and open minded to. With beautiful soft curves, I am the girl next door, the perfect mix of naughty and nice. My rate is $125 an hour for the girlfriend experience. There is no preasure with me, I offer a total comfortable encounter. I have FuckrNow.com/BabyDoll as a screening system inorder to keep us both safe. If you'd like to get together you can arrange it through there. Go with that feeling telling you to live on the wild side a bit today and get in touch, you won't regret it. Your satisfaction is mine. :) <img>https://api.twilio.com/2010-04-01/Accounts/AC364c6274101b6b137b433c79b795bba2/Messages/MM1653fc8609eb092ca774203ce982e856/Media/ME6b56974dc497ebc20e372cedcd9e0c3d</img>",1,TRUE,Other Site
"Hello, I am Jessica. My girlfriend gave me your phone number. Are you bored, stressed, or just interested in a good time? I will sweep you off your feet with my sexy eyes, bubbly personality, and slim yet curvy body. I'm never in a rush and discreet. I have more pictures on InstaNaughty.com/GFEJessica and a few videos aswell. I also use them to screen new clients for my security, you can contact me on there to make a date. <img>https://api.twilio.com/2010-04-01/Accounts/AC364c6274101b6b137b433c79b795bba2/Messages/MM654fb19ee08581b53b74a5291f7f18ac/Media/ME1e3c43cf99a6e3c523e50c6e57a3cff4</img>",1,TRUE,Other Site
A message from the Cook County Sheriff. You can get support at http://bit.ly/2qNN9HO <img>https://api.twilio.com/2010-04-01/Accounts/AC364c6274101b6b137b433c79b795bba2/Messages/MMfa7198d2cf91825a91a4c354b22f0d35/Media/MEd97d161f6f7e712a856d8adfa2214b3d</img>,1,FALSE,Law Enforcement
"R u looking for a total escape from all the stress and problems life has to offer? Then allow me to be your sweet escape as I take you to a world of complete bliss! There's no rushing with me, I offer a total relaxed experience for $125 an hour. I am soft and sweet but frisky and naughty all at once. I guarantee if you have a date with me it'll be the highlight of your day. I have FuckrNow.com/SinfulDreams as a screening system for my safety. If you would like to setup a date you can arrange it on there. Trust that feeling saying to live on the wild side a bit today and contact me, you won't regret it. Your satisfaction is mine. :) <img>https://api.twilio.com/2010-04-01/Accounts/AC364c6274101b6b137b433c79b795bba2/Messages/MM8f5e4ab58dad0e2dac56bcf374fc8ef0/Media/ME2cdf87a65a9c23bac7675d748f403055</img>",1,FALSE,Other Site
Hi,2,FALSE,Short Greeting
"Hello, we are Ant Tone, a VoIP phone company. We provide long-term phone numbers for the US,Canada,UK and Australia. Support MMS,SMS,voice,auto-reply, voice mail and other functions. Support for personal, family, small business and business registration, for more information, please visit https://www.anttone.com",1,FALSE,Other Company
"Hello, we are a VoIP phone company AntTone. We provide long-term phone numbers for the US and Canada. Support MMS,SMS,voice,auto-reply,voicemail and other functions, as well as various accounts for different business scenarios. For more information, please visit https://www.anttone.com",1,TRUE,Other Company
"Do you know that cops are using Skip The Games to arrest escorts and their clients? Next time you contact a girl it might end in a night behind bars. You got a better option, don't take the risk anymore. Go to XoXLocals.com You can browse thousands of local profiles of hot women in your area. They aren't looking for money, they just want to be satisfied! It's free to sign up, they don't even ask you for a credit card number. It's free sex, you can't loose.",1,TRUE,Other Site
"Hiya, a bit ago you replied to my Skip The Games listing. I'm sorry it took me so long to reply to you. For the time being I do not desire a relationship with commitments, I am only interested in have some fun with no strings. Perhaps we can meet and have dinner or drinks, I've got some free time tomorrow if you're available. Find me on ItsAFling.com I am badlilgirly there, I have got allot more pix and a few vids there. My real cell number is also on there. I do this to screen for my safety and weed out the fakes and flakes. <img>https://api.twilio.com/2010-04-01/Accounts/AC364c6274101b6b137b433c79b795bba2/Messages/MM517d4f0144118d8e64e6128d35d45e4b/Media/ME29ebfa844b2e85f73977c956c632444b</img>",1,TRUE,Other Site
"Do you know that police are using Skip The Games to arrest escorts and their clients? Next time you contact an ad it might end in a night in jail. You have a better alternative, do not take the risk anymore. Checkout XoXLocals.com You can browse thousands of local profiles of sexy women in your area. They are not after money, they just want to be satisfied! So what do you got to loose, its free sex, can't go wrong.",1,FALSE,Other Site
"Hi, I'm responding to you from my Skip The Games listing. Are you searching for a attractive young woman to have some quality time with? I am right here ready for whatever kind of adventure you may have in mind! I am soft and sweet but frisky and naughty at the same time. I promise if you have a date with me it will be the highlight of your week. There is no preasure with me, I provide a total comfortable experience for $125 an hour. I use FuckrNow.com/HornyRider as a screening service to keep us both safe. If you would like to get together you can arrange it through there. Trust that feeling telling you to live on the wild side a bit today and get in touch, you will not regret it. Your satisfaction is mine. :) <img>https://api.twilio.com/2010-04-01/Accounts/AC364c6274101b6b137b433c79b795bba2/Messages/MM3fb34b3a5a0f56062c1ac943f488105c/Media/ME03576f7037e4bc60dae8c0c72fe3f233</img>",1,TRUE,Other Site
"Hey there, I am Jessica. My girlfriend gave me your number. Are you stressed, bored, or are not getting what you want at home? I am imaginative, energetic, sensual, and fun. For an hour my fee is $120. I provide a total GFE service. I am discreet and never in a hurry My pics are real and taken recently. I'm drama free and independent. I have some more pictures on InstaNaughty.com/GFEJessica and a few videos too. I only allow dates through them, for my security I use them for screening clients. You'll always leave satisfied. <img>https://api.twilio.com/2010-04-01/Accounts/AC364c6274101b6b137b433c79b795bba2/Messages/MM0d387f25e30d9f5a539bd24bfb8f38c0/Media/ME5e2de40e0cf6318a33f5c2d29aeca0b2</img>",1,FALSE,Other Site
